Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,tconst,has_omdb_data,Season,Episode,seriesID,totalSeasons
The Hunter,2011,R,06 Oct 2011,100 min,"Adventure, Drama, Thriller",Daniel Nettheim,"Alice Addison, Wain Fimeri, Daniel Nettheim","Willem Dafoe, Sam Neill, Morgan Davies","Martin, a mercenary, is sent from Europe by a mysterious biotech company to the Tasmanian wilderness on a hunt for the last Tasmanian tiger.",English,Australia,4 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BNTI4Mzc0MTg4OV5BMl5BanBnXkFtZTcwNTc1NDQzNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.7,"42,085",tt1703148,movie,N/A,"$176,669",N/A,N/A,True,tt1703148,True,,,,
Arrow,2015,Not Rated,19 Jan 2015,N/A,"Documentary, Talk-Show",Ron Sylvester,Melanie McFarland,"Melanie McFarland, Stephen Amell, Brandon Routh","The cast of ""Arrow"" discusses the series and talk about what's coming up in season 3.",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTYyNzczOTExNF5BMl5BanBnXkFtZTgwMjUxMTcwNDE@._V1_SX300.jpg,[],N/A,N/A,98,tt4364638,episode,,,,,True,tt4364638,True,2,27,tt3412000,
Black Mirror,2016,N/A,20 Dec 2016,N/A,"Animation, Short, Comedy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYWU3MTE0NDctYjI4NC00NDVkLTg3MGEtMjQ1YTdhMDQ3M2YzXkEyXkFqcGdeQXVyOTA1ODU0Mzc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11483632,episode,,,,,True,tt11483632,True,N/A,N/A,N/A,
The Originals,2016,TV-14,N/A,8 min,News,N/A,N/A,Tosha Lynette,"The beautiful cast of ""The Originals"" talks about panels at the con, immortality and Steve's Jigglypuff.",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMjA2YjU4MWUtNTRhMy00ZjgzLWIyMGMtZDNlYzVhZWM2OGRiXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt8534444,episode,,,,,True,tt8534444,True,3,16,tt8532358,
The 100,2016,N/A,17 Dec 2016,N/A,Comedy,Nathaniel Avila,Nathaniel Avila (creator),"Yasmin Andrade, Nathaniel Avila",N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZjgzNWUxYmQtMzI4OS00ZjBlLWEyZjMtMGNmOWQ4NmViZmFkXkEyXkFqcGdeQXVyNDE3MTIxOTk@._V1_SX300.jpg,[],N/A,N/A,N/A,tt6359016,episode,,,,,True,tt6359016,True,2,9,tt5086032,
Marvel's Luke Cage,2016,TV-14,N/A,N/A,News,N/A,N/A,N/A,"Carrie gets the scoop on ""Luke Cage"", the character, the music and the iconic backdrop.",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZTUxOTkzNzEtYmU5Ny00OTI0LWEzOGQtZjgyMDY4NjU5MGEyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt8534480,episode,,,,,True,tt8534480,True,3,30,tt8532358,
Narcos,2016,N/A,08 Oct 2016,N/A,N/A,Nathaniel Avila,Nathaniel Avila (creator),"Krissy Avila, Nathaniel Avila",N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZjgzNWUxYmQtMzI4OS00ZjBlLWEyZjMtMGNmOWQ4NmViZmFkXkEyXkFqcGdeQXVyNDE3MTIxOTk@._V1_SX300.jpg,[],N/A,N/A,N/A,tt6135644,episode,,,,,True,tt6135644,True,2,2,tt5086032,
The Do-Over,2016,TV-MA,27 May 2016,108 min,"Action, Adventure, Comedy",Steven Brill,"Kevin Barnett, Chris Pappas","Adam Sandler, David Spade, Paula Patton","Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTYyNDY2NzAxNV5BMl5BanBnXkFtZTgwOTMxMzg2ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22,5.7,"53,056",tt4769836,movie,N/A,N/A,N/A,N/A,True,tt4769836,True,,,,
Fearless,2016,N/A,04 Jan 2016,88 min,"Comedy, Drama, Musical",Mark Maine,"Mark Maine, Mike Terrell","Michael Copon, John Patrick Jordan, Nikki SooHoo","A sequel to Music High, Fearless is a teenage beach bathing suit Musical-Comedy, filled with plenty of gorgeous gals and guys on the beach re-imagined from movies of the past Beach Party (1963) and Bikini Beach (1964) and Blue Cru...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTM4NzMzNjc2MV5BMl5BanBnXkFtZTgwMjc3ODc0MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,28,tt1312235,movie,N/A,N/A,N/A,N/A,True,tt1312235,True,,,,
Hyena Road,2015,R,02 Aug 2016,120 min,"Drama, War",Paul Gross,Paul Gross,"Rossif Sutherland, Allan Hawco, David Richmond-Peck","Three different men, three different worlds, three different wars - all stand at the intersection of modern warfare - a murky world of fluid morality where all is not as it seems.",English,Canada,5 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMzAyMzI2NDMyOV5BMl5BanBnXkFtZTgwMTc2NjIxODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.5,"9,696",tt4034452,movie,N/A,"$1,430",N/A,N/A,True,tt4034452,True,,,,
Santa Clarita Diet,2017–2019,TV-MA,03 Feb 2017,2 min,"Comedy, Horror",N/A,Victor Fresco,"Drew Barrymore, Timothy Olyphant, Liv Hewson","Sheila and Joel are married real estate agents who live and work in Santa Clarita, California. When Sheila dies, their lives take a dark turn.",English,United States,6 nominations total,https://m.media-amazon.com/images/M/MV5BNTIwMDkzNTMwMF5BMl5BanBnXkFtZTgwNDA4MjI2NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"82,209",tt5580540,series,,,,,True,tt5580540,True,,,,3
White Girl,2016,TV-MA,01 Dec 2016,88 min,"Crime, Drama",Elizabeth Wood,Elizabeth Wood,"Morgan Saylor, Brian Marc, Justin Bartha","Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.",English,United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMjMzMDY1NDcyNl5BMl5BanBnXkFtZTgwNTc0ODc4OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,5.7,"12,184",tt4129870,movie,N/A,"$200,242",N/A,N/A,True,tt4129870,True,,,,
Girlboss,2017,TV-MA,21 Apr 2017,2 min,Comedy,N/A,Kay Cannon,"Britt Robertson, Ellie Reed, Johnny Simmons","Sophia, a misfit, discovers a passion for fashion, becoming an unlikely businesswoman in the process. As her business grows, however, she has to learn to cope with life as her own boss. This show is loosely based on the true story...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTgzMzU5ODIxN15BMl5BanBnXkFtZTgwNzI4ODE5MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"20,064",tt5706996,series,,,,,True,tt5706996,True,,,,1
City of God: 10 Years Later,2013,PG-13,20 Oct 2014,70 min,Documentary,"Cavi Borges, Luciano Vidigal","Maria do Rosário Caetano, Carla Osório, André Sampaio","Alexandre Rodrigues, Leandro Firmino, Roberta Rodrigues",A film documentary about the fate of the young actors of the award winning film City of God by Fernando Meirelles and Katia Lund. It shows how their lives unfolded after the film's worldwide success.,Portuguese,Brazil,2 wins,https://m.media-amazon.com/images/M/MV5BMTQ4MDk2OTE1NV5BMl5BanBnXkFtZTgwNDI0OTk5MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"1,536",tt4103686,movie,N/A,N/A,N/A,N/A,True,tt4103686,True,,,,
13 Reasons Why,2017–2020,TV-MA,31 Mar 2017,60 min,"Drama, Mystery, Thriller",N/A,Brian Yorkey,"Dylan Minnette, Katherine Langford, Christian Navarro","Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",English,United States,5 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BNThjYzQ3ZjYtM2I0ZC00OGNjLTlmNGItYjE3ZWI5MWIyMWYyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"337,279",tt1837492,series,,,,,True,tt1837492,True,,,,4
Sand Castle,2017,TV-MA,21 Apr 2017,113 min,"Action, Drama, War",Fernando Coimbra,Chris Roessner,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill","The story follows a young soldier, and his introduction into the 2003 invasion of Iraq. Based on true events, it bears witness to the destruction and horrors of war.","English, Arabic","United States, Jordan",N/A,https://m.media-amazon.com/images/M/MV5BMDFmNGUwYTMtNDMyMC00YWM2LWEwOTktNTM1YWI0NDRiMDY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,6.3,"30,483",tt2582576,movie,N/A,N/A,N/A,N/A,True,tt2582576,True,,,,
Sandy Wexler,2017,TV-14,14 Apr 2017,130 min,Comedy,Steven Brill,"Dan Bulla, Paul Sado, Adam Sandler","Adam Sandler, Jennifer Hudson, Kevin James","Sandy Wexler is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business.",English,United States,1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTY1NDIwMjQ1OF5BMl5BanBnXkFtZTgwMzUzMjI4MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,5.2,"19,449",tt5893332,movie,N/A,N/A,N/A,N/A,True,tt5893332,True,,,,
Pandora,2016,N/A,05 Nov 2016,39 min,"Short, Action","Kristoffer Bradley Cruz, Tatiana Nguyen","Kristoffer Bradley Cruz, Elisar Haydar, Tatiana Nguyen (story), Tatiana Nguyen","Nayiri Houldsworth, Ethan Zuchkan, Ilya Kovalevskiy, Emily Vaillancourt","A young girl, Hope, seeks revenge on her sister's murderer, the infamous Pandora killer. Together with her best friend, Isaac, she gathers information and hunts him down.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BODExNjA0OTktOGJiZS00YzUxLTk5ZDQtYTEyYjM1ZmY0YzE5XkEyXkFqcGdeQXVyNjcyNjE2NDA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10778398,movie,N/A,N/A,N/A,N/A,True,tt10778398,True,,,,
Parks and Recreation,2015,TV-Y,11 Nov 2015,27 min,"Animation, Adventure, Comedy",J. Meeka Stuart,"P. Kevin Strader, George Arthur Bloom, Ellen Doherty","Eric Craig, Kevin Dennis, Novie Edwards","Kids in glamorous Gollywood have no safe place to play. When they discover an empty lot that can be converted to a park, they have only one opponent: Hacker. He wants the lot for his new Gollywood Tower, which he claims will broad...",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZTYyNmRkYTAtNWM3MS00MmQyLWJlNTAtZmVjYjJjZWQ2ZmZmXkEyXkFqcGdeQXVyODg3NDc1OTE@._V1_SX300.jpg,[],N/A,N/A,8,tt5162742,episode,,,,,True,tt5162742,True,10,4,tt5162742,
Friends,2003,N/A,N/A,23 min,"Animation, Comedy, Drama",Masami Shimoda,"Kou Fumizuki, Ken'ichi Kanemaki",N/A,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMzdiYmEwOTAtZTI2Mi00YzU4LTg3OTgtMDlkYTE4NDdkNDEwXkEyXkFqcGdeQXVyMTA3OTEyODI1._V1_SX300.jpg,[],N/A,N/A,8,tt0956390,episode,,,,,True,tt0956390,True,2,2,tt0339953,
Bates Motel,2016,TV-14,N/A,N/A,News,N/A,N/A,N/A,"""The Bates Motel"" cast talks about fan reaction to Norma's death and the last season.",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZTNhMjAxODQtNTQzNC00NDVhLTk5ZmQtYjJhZjY4Yjg4NWNhXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt8535224,episode,,,,,True,tt8535224,True,N/A,N/A,N/A,
How to Get Away with Murder,2016,N/A,21 Oct 2016,60 min,"Documentary, News",N/A,N/A,N/A,Christopher Waide is convicted of the 2014 murder of 19-year-old Lea Porter.,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTgyNTA1OTQyNF5BMl5BanBnXkFtZTgwNDY1NTU0OTE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt6133634,episode,,,,,True,tt6133634,True,40,7,tt0124932,
Love,2017,N/A,N/A,N/A,Comedy,N/A,N/A,N/A,All you need to know about finding love and dating your way up the social ladder.,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt10415050,episode,,,,,True,tt10415050,True,N/A,N/A,N/A,
The OA,2016–2019,TV-MA,16 Dec 2016,2 min,"Drama, Fantasy, Mystery",N/A,"Zal Batmanglij, Brit Marling","Brit Marling, Jason Isaacs, Scott Wilson","Having gone missing seven years ago, the previously blind Prairie returns home, now in her twenties with her sight restored. While many believe she is a miracle, others worry that she could be dangerous.",English,United States,3 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMTY5OTkwNDkzOF5BMl5BanBnXkFtZTgwMDEyNzI1NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"124,749",tt4635282,series,,,,,True,tt4635282,True,,,,2
Stranger Things,2016,N/A,18 Nov 2016,N/A,Comedy,Jason Vitteri-Lewis,Jason Vitteri-Lewis,Cinda McCain,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZjk4YTQ4MWItNmQ0Ni00MmY1LWJmOGMtNGQwNmNhNTBhZmVhXkEyXkFqcGdeQXVyMzE5OTgyOTY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11253872,episode,,,,,True,tt11253872,True,N/A,N/A,N/A,
Ingobernable,2017–2018,TV-MA,24 Mar 2017,40 min,"Crime, Drama, Mystery",N/A,N/A,"Leah Allers, Kate del Castillo, Pati Lauren","The first lady of Mexico is a woman of conviction and ideals. But when she loses faith in her husband, she'll need all her strength to uncover the truth.",Spanish,Mexico,3 nominations total,https://m.media-amazon.com/images/M/MV5BMTU4NjMxOTQ5MV5BMl5BanBnXkFtZTgwNDUzMTgxNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"3,660",tt6495756,series,,,,,True,tt6495756,True,,,,3
Zootopia,2016,N/A,04 Mar 2016,N/A,Talk-Show,N/A,N/A,N/A,"Shaurya Chawla reviews ""Zootopia"", discussing the themes it tackles and its gorgeous animation.",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BM2UyOTQ3ZGUtMGM3YS00MTJmLThmYWQtMmRlYTE5MzQwOWQzXkEyXkFqcGdeQXVyNDE3MTU0Nzg@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12853176,episode,,,,,True,tt12853176,True,1,5,tt12851602,
Meet the Blacks,2016,R,01 Apr 2016,94 min,"Comedy, Horror",Deon Taylor,"Deon Taylor, Nicole DeMasi","Mike Epps, Zulay Henao, Alex Henderson","As Carl Black gets the opportunity to move his family out of Chicago in hope of a better life, their arrival in Beverly Hills is timed with that city's annual purge, where all crime is legal for twelve hours.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzAxNDY3ODk3MF5BMl5BanBnXkFtZTgwMjYwNDA5NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",26,4.8,"38,313",tt4191580,movie,N/A,"$9,097,072",N/A,N/A,True,tt4191580,True,,,,
Finding Dory,2016,TV-14,23 Jun 2016,N/A,Talk-Show,Doug Walker,Doug Walker,Doug Walker,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNGI5YzM3MGItYTczNS00MGUzLWI4ZjEtMjFmZmEwNTNhNzI0XkEyXkFqcGdeQXVyNzExMzc0MDg@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10649072,episode,,,,,True,tt10649072,True,N/A,N/A,N/A,
Sausage Party,2016,N/A,04 Sep 2016,N/A,"Comedy, Talk-Show",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt13808486,episode,,,,,True,tt13808486,True,N/A,N/A,N/A,
Pete's Dragon,2016,PG,12 Aug 2016,102 min,"Action, Adventure, Comedy",David Lowery,"David Lowery, Toby Halbrooks, Malcolm Marmorstein","Bryce Dallas Howard, Robert Redford, Oakes Fegley","The adventures of an orphaned boy named Pete and his best friend Elliott, who happens to be a dragon.",English,"United States, United Kingdom, New Zealand, India",3 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMjBiYTdjZDUtYjg3ZS00YTA0LTkzZGUtMzA2OWEyOGZiN2VhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.7,"64,160",tt2788732,movie,N/A,"$76,233,151",N/A,N/A,True,tt2788732,True,,,,
Kevin Hart: What Now?,2016,R,14 Oct 2016,96 min,"Documentary, Comedy","Leslie Small, Tim Story","Kevin Hart, Joey Wells, Harry Ratchford","Kevin Hart, Don Cheadle, Halle Berry","Comedian Kevin Hart performs in front of a crowd of 53,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.",English,United States,1 nomination.,https://m.media-amazon.com/images/M/MV5BNzI2MDk3OTA5N15BMl5BanBnXkFtZTgwMDU1MDgxMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.0,"10,065",tt4669186,movie,N/A,"$23,591,043",N/A,N/A,True,tt4669186,True,,,,
The Discovery,2017,N/A,01 May 2017,4 min,"Animation, Short",Kate Allsebrook,N/A,Daniela DeAbreu,"When a rover is sent to mars, he discovers something unexpected. He soon wonders if telling the humans is really the best idea.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BNjdkNWFlYTAtYzE2OS00YzQwLTkzOWUtYjk2M2Y3MDNhNjQ0XkEyXkFqcGdeQXVyMTE4MDkxMjM1._V1_SX300.jpg,[],N/A,N/A,N/A,tt12285944,movie,N/A,N/A,N/A,N/A,True,tt12285944,True,,,,
Cheer Squad,2016,TV-PG,06 Jul 2016,60 min,Reality-TV,N/A,N/A,Ali Moffatt,"Cheer squad is a show based on the Canadian cheer team The Great Whites. Will they be able to balance friendships,school,jobs,family to be on a team. Find out in Cheer Squad",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BOWY3NDJiNTQtYmE4Yy00Y2ZjLThlOGEtMTgyMGE5ZjBlYmZiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,178,tt5993744,series,,,,,True,tt5993744,True,,,,1
Only for One Night,2016,TV-14,10 Nov 2021,86 min,"Crime, Drama, Romance",Chris Stokes,N/A,"Brian White, Karrueche Tran, Angelique Pereira",A woman's husband with a perfect life cheats with her sister with extreme consequences befalling them all.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTc1NTYxMDQwM15BMl5BanBnXkFtZTgwMzA3MjAyODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,796,tt5505722,movie,N/A,N/A,N/A,N/A,True,tt5505722,True,,,,
